Format,OpenLAP Export
Venue,Paul Ricard
Vehicle,FE12
Driver,OpenLap
Device
Comment
Date,06/09/2025
Time,02:51:35
Frequency,50





distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
m,s,m/s,m,m/s,m/s/s,m/s/s,m/s/s,N,N,N


34.441559,0.860000,41.211113,423.072205,41.211113,0.000000,0.397885,0.397885,2937.896729,1341.472046,-2648.417969
35.265781,0.880000,41.211113,423.080658,41.211113,0.000000,0.388589,0.388589,2937.896729,1341.472046,-2648.531006
36.090004,0.900000,41.211113,423.089966,41.211113,0.000000,0.385413,0.385413,2937.896729,1341.472046,-2648.613770
36.914227,0.920000,41.211113,423.106628,41.211113,0.000000,0.400475,0.400475,2937.896729,1341.472046,-2648.645508
37.738445,0.940000,41.211113,423.108521,41.211113,0.000000,0.415497,0.415497,2937.896729,1341.472046,-2648.668945
38.562668,0.960000,41.211113,423.108704,41.211113,0.000000,0.419802,0.419802,2937.896729,1341.472046,-2648.689453
39.386894,0.980000,41.211113,423.108887,41.211113,0.000000,0.411795,0.411795,2937.896729,1341.472046,-2648.699951
40.211113,1.000000,41.211113,423.109070,41.211113,0.000000,0.396179,0.396179,2937.896729,1341.472046,-2648.695801
41.035332,1.020000,41.211113,423.109283,41.211113,0.000000,0.382340,0.382340,2937.896729,1341.472046,-2648.678955
41.859554,1.040000,41.211113,423.109436,41.211113,0.000000,0.364137,0.364137,2937.896729,1341.472046,-2648.628418
42.683777,1.060000,41.211113,423.109619,41.211113,0.000000,0.321630,0.321630,2937.896729,1341.472046,-2648.549072
43.508003,1.080000,41.211113,423.099670,41.211113,0.000000,0.274202,0.274202,2937.896729,1341.472046,-2648.481934
44.332222,1.100000,41.211113,423.083344,41.211113,0.000000,0.239409,0.239409,2937.896729,1341.472046,-2648.422852
45.156448,1.120000,41.211113,423.067047,41.211113,0.000000,0.226236,0.226236,2937.896729,1341.472046,-2648.370605
